month,decreto_rows,total_rows,pct_rows,decreto_text,total_text,pct_text
2022-10,9,249,3.61,36229,2438008,1.49
2022-11,4,105,3.81,285773,881542,32.42
2022-12,5,68,7.35,119992,1202643,9.98
2023-01,5,65,7.69,57687,433902,13.29
2023-02,3,37,8.11,271719,490526,55.39
2023-03,4,63,6.35,96660,641803,15.06
2023-04,3,42,7.14,76128,542079,14.04
2023-05,5,60,8.33,312023,618703,50.43
2023-06,5,42,11.9,506027,752322,67.26
2023-07,5,42,11.9,550982,940276,58.6
2023-08,2,27,7.41,74660,245815,30.37
2023-09,4,41,9.76,118605,425236,27.89
2023-10,2,32,6.25,230440,776879,29.66
2023-11,5,27,18.52,190362,401734,47.39
2023-12,3,23,13.04,16782,366096,4.58
2024-01,4,28,14.29,254829,408924,62.32
2024-02,3,48,6.25,195381,631813,30.92
2024-03,1,39,2.56,13944,496813,2.81
2024-04,2,20,10.0,604777,700993,86.27
