family,rows,pct_rows,text_total,pct_text,articles_total,pct_articles,text_vs_rows_ratio,articles_vs_rows_ratio
decreto_like,98,8.95,4032225,30.08,513,8.43,3.36,0.94
bilancio,17,1.55,1015889,7.58,136,2.24,4.88,1.44
delega,71,6.48,1275593,9.52,530,8.71,1.47,1.34
istituzione,151,13.79,1024183,7.64,773,12.7,0.55,0.92
ratifica,54,4.93,148177,1.11,252,4.14,0.22,0.84
lavoro,71,6.48,1191375,8.89,588,9.66,1.37,1.49
norme_generali,486,44.38,6160159,45.96,3375,55.46,1.04,1.25
modifica,183,16.71,765154,5.71,489,8.04,0.34,0.48
codice,136,12.42,783058,5.84,471,7.74,0.47,0.62
proroga,7,0.64,19167,0.14,32,0.53,0.22,0.82
chiarimento,2,0.18,2626,0.02,5,0.08,0.11,0.45
